,Module,Alpha,Letter,Num,IdeoPos,Incumbent,Alliances,Region,Round2
1,1,AUS_1996,A,2,,1,0,,
2,1,AUS_1996,B,1,,-1,1,,
3,1,AUS_1996,C,3,,-1,1,,
4,1,AUS_1996,D,4,,-1,0,,
5,1,AUS_1996,E,5,,-1,0,,
6,1,CZE_1996,A,5,,1,0,,
7,1,CZE_1996,B,1,,-1,0,,
8,1,CZE_1996,C,3,,-1,0,,
9,1,CZE_1996,D,2,,-1,0,,
10,1,CZE_1996,E,6,,-1,0,,
11,1,CZE_1996,F,4,,-1,0,,
12,1,ESP_1996,A,1,,-1,0,,
13,1,ESP_1996,B,3,,1,0,,
14,1,ESP_1996,C,4,,-1,0,,
15,1,ESP_1996,D,5,,-1,0,5,
16,1,ESP_1996,E,6,,-1,0,16,
17,1,ISR_1996,A,2,,1,0,,
18,1,ISR_1996,B,1,,-1,0,,
19,1,JPN_1996,A,1,,1,1,,
20,1,JPN_1996,B,2,,-1,0,,
21,1,JPN_1996,C,3,,-1,0,,
22,1,JPN_1996,D,5,,-1,0,,
23,1,JPN_1996,E,4,,1,1,,
24,1,NZL_1996,A,2,,1,0,,
25,1,NZL_1996,B,1,,-1,0,,
26,1,NZL_1996,C,3,,-1,0,,
27,1,NZL_1996,D,4,,-1,0,,
28,1,NZL_1996,E,5,,-1,0,,
29,1,NZL_1996,F,6,,-1,0,,
30,1,ROU_1996,A,4,,-1,1,,
31,1,ROU_1996,NA,33,,-1,1,,
32,1,ROU_1996,B,2,,1,0,,
33,1,ROU_1996,C,1,,-1,2,,
34,1,ROU_1996,NA,34,,-1,2,,
35,1,ROU_1996,D,6,,-1,0,,
36,1,ROU_1996,F,5,,-1,2,,
37,1,ROU_1996,G,3,,-1,1,,
38,1,SVN_1996,A,1,,1,0,,
39,1,SVN_1996,B,2,,-1,0,,
40,1,SVN_1996,C,4,,-1,0,,
41,1,SVN_1996,D,5,,-1,0,,
42,1,SVN_1996,E,6,,-1,0,,
43,1,SVN_1996,G,3,,-1,0,,
44,1,TWN_1996,A,1,,1,0,,
45,1,TWN_1996,B,2,,-1,0,,
46,1,TWN_1996,C,3,,-1,0,,
47,1,USA_1996,A,1,,1,0,,
48,1,USA_1996,B,3,,-1,0,,
49,1,USA_1996,C,5,,-1,0,,
50,1,CAN_1997,A,1,,1,0,,
51,1,CAN_1997,B,4,,-1,0,,
52,1,CAN_1997,C,2,,-1,0,,
53,1,CAN_1997,D,3,,-1,0,,
54,1,CAN_1997,E,5,,-1,0,24,
55,1,NOR_1997,A,3,,1,0,,
56,1,NOR_1997,B,9,,-1,0,,
57,1,NOR_1997,C,8,,-1,0,,
58,1,NOR_1997,D,5,,-1,0,,
59,1,NOR_1997,E,6,,-1,0,,
60,1,NOR_1997,F,2,,-1,0,,
61,1,POL_1997,A,5,,-1,0,,
62,1,POL_1997,B,6,,1,0,,
63,1,POL_1997,C,4,,-1,0,,
64,1,POL_1997,D,7,,1,0,,
65,1,POL_1997,E,9,,-1,0,,
66,1,POL_1997,F,1,,-1,0,,
67,1,GBR_1997,A,2,,-1,0,,
68,1,GBR_1997,B,1,,1,0,,
69,1,GBR_1997,C,3,,-1,0,,
70,1,GBR_1997,D,4,,-1,0,11,
71,1,GBR_1997,E,5,,-1,0,10,
72,1,DEU_1998,A,4,,-1,0,,
73,1,DEU_1998,B,2,,1,0,,
74,1,DEU_1998,C,3,,1,0,,
75,1,DEU_1998,D,6,,-1,0,,
76,1,DEU_1998,E,5,,1,0,,
77,1,DEU_1998,F,7,,-1,0,,
78,1,DNK_1998,A,1,,1,0,,
79,1,DNK_1998,B,9,,-1,0,,
80,1,DNK_1998,C,3,,-1,0,,
81,1,DNK_1998,D,5,,-1,0,,
82,1,DNK_1998,E,6,,-1,0,,
83,1,DNK_1998,F,4,,1,0,,
84,1,HUN_1998,A,5,,1,0,,
85,1,HUN_1998,B,1,,-1,1,,
86,1,HUN_1998,C,2,,-1,0,,
87,1,HUN_1998,D,6,,-1,0,,
88,1,HUN_1998,E,4,,-1,0,,
89,1,HUN_1998,G,3,,-1,1,,
90,1,NLD_1998,A,1,,1,0,,
91,1,NLD_1998,B,3,,1,0,,
92,1,NLD_1998,C,2,,-1,0,,
93,1,NLD_1998,D,4,,1,0,,
94,1,NLD_1998,E,5,,-1,0,,
95,1,NLD_1998,G,7,,-1,0,,
96,1,SWE_1998,A,2,,1,0,,
97,1,SWE_1998,B,5,,-1,0,,
98,1,SWE_1998,C,1,,-1,0,,
99,1,SWE_1998,D,6,,-1,0,,
100,1,SWE_1998,E,3,,-1,0,,
101,1,SWE_1998,F,4,,-1,0,,
102,1,BELF1999,A,4,,-1,0,,
103,1,BELF1999,B,8,,1,0,,
104,1,BELF1999,C,3,,1,0,,
105,1,BELF1999,D,6,,-1,0,,
106,1,BELF1999,E,2,,-1,0,,
107,1,BELF1999,F,7,,-1,0,,
108,1,BELW1999,A,9,,1,0,,
109,1,BELW1999,B,5,,-1,0,,
110,1,BELW1999,C,1,,-1,0,,
111,1,BELW1999,D,10,,1,0,,
112,1,BELW1999,F,15,,-1,0,,
113,1,CHL_1999,A,6,,1,0,,
114,1,CHL_1999,B,1,,-1,0,,
115,1,CHL_1999,C,9,,-1,0,,
116,1,CHL_1999,D,8,,-1,0,,
117,1,ISL_1999,A,3,,1,0,,
118,1,ISL_1999,B,1,,-1,0,,
119,1,ISL_1999,C,2,,1,0,,
120,1,ISL_1999,D,4,,-1,0,,
121,1,ISL_1999,E,5,,-1,0,,
122,1,CHE_1999,A,4,,1,0,,
123,1,CHE_1999,B,3,,1,0,,
124,1,CHE_1999,C,1,,1,0,,
125,1,CHE_1999,D,2,,1,0,,
126,1,CHE_1999,E,13,,-1,0,,
127,1,ESP_2000,A,1,,1,0,,
128,1,ESP_2000,B,3,,-1,1,,
129,1,ESP_2000,C,4,,-1,1,,
130,1,ESP_2000,D,5,,1,0,5,
131,1,ESP_2000,E,6,,1,0,16,
132,1,MEX_2000,A,1,,-1,1,,
133,1,MEX_2000,B,2,,1,0,,
134,1,MEX_2000,C,3,,-1,2,,
135,1,MEX_2000,F,6,,-1,0,,
136,2,BGR_2001,A,63,,-1,0,,
137,2,BGR_2001,B,2,,1,0,,
138,2,BGR_2001,C,86,,-1,0,,
139,2,BGR_2001,D,3,,-1,0,,
140,2,BGR_2001,E,15,,-1,1,,
141,2,BGR_2001,F,4,,-1,0,,
142,2,BGR_2001,G,25,,-1,1,,
143,2,DNK_2001,A,8,,-1,0,,
144,2,DNK_2001,B,1,,1,0,,
145,2,DNK_2001,C,6,,-1,0,,
146,2,DNK_2001,D,3,,-1,0,,
147,2,DNK_2001,E,5,,-1,0,,
148,2,DNK_2001,F,2,,1,0,,
149,2,DNK_2001,G,10,,-1,0,,
150,2,DNK_2001,H,7,,-1,0,,
151,2,NOR_2001,A,3,,-1,0,,
152,2,NOR_2001,B,8,,1,0,,
153,2,NOR_2001,C,9,,1,0,,
154,2,NOR_2001,D,2,,-1,0,,
155,2,NOR_2001,E,5,,1,0,,
156,2,NOR_2001,F,6,,1,0,,
157,2,NOR_2001,G,4,,1,0,,
158,1,PER_2001,A,1,,-1,0,,
159,1,PER_2001,B,2,,-1,0,,
160,1,PER_2001,C,3,,-1,0,,
161,1,PER_2001,D,4,,-1,0,,
162,1,PER_2001,E,5,,-1,0,,
163,1,PER_2001,F,6,,-1,0,,
164,2,POL_2001,A,1,,-1,1,,
165,2,POL_2001,B,7,,-1,0,,
166,2,POL_2001,C,4,,-1,0,,
167,2,POL_2001,D,5,,-1,0,,
168,2,POL_2001,E,6,,-1,0,,
169,2,POL_2001,F,10,,-1,0,,
170,2,POL_2001,G,2,,1,0,,
171,2,POL_2001,H,3,,1,0,,
172,2,POL_2001,I,30,,-1,1,,
173,2,BRA_2002,A,13,,-1,0,,1
174,2,BRA_2002,B,45,,1,1,,1
175,2,BRA_2002,C,25,,1,0,,
176,2,BRA_2002,D,15,,1,1,,
177,2,BRA_2002,E,11,,-1,2,,
178,2,BRA_2002,G,12,,-1,2,,
179,2,BRA_2002,H,14,,-1,2,,
180,2,CZE_2002,A,3,,1,0,,
181,2,CZE_2002,B,22,,-1,0,,
182,2,CZE_2002,C,23,,-1,0,,
183,2,CZE_2002,D,30,,-1,1,,
184,2,CZE_2002,E,31,,-1,1,,
185,2,DEU12002,A,1,,1,0,,
186,2,DEU12002,B,2,,-1,0,,
187,2,DEU12002,C,3,,-1,0,,
188,2,DEU12002,D,4,,1,0,,
189,2,DEU12002,E,5,,-1,0,,
190,2,DEU12002,F,6,,-1,0,,
191,2,DEU12002,G,7,,-1,0,,
192,2,DEU12002,H,8,,-1,0,,
193,2,DEU22002,A,1,,1,0,,
194,2,DEU22002,B,2,,-1,0,,
195,2,DEU22002,C,3,,-1,0,,
196,2,DEU22002,D,4,,1,0,,
197,2,DEU22002,E,5,,-1,0,,
198,2,DEU22002,F,6,,-1,0,,
199,2,DEU22002,G,7,,-1,0,,
200,2,DEU22002,H,8,,-1,0,,
201,2,IRL_2002,A,1,,1,1,,
202,2,IRL_2002,B,2,,-1,0,,
203,2,IRL_2002,C,4,,-1,0,,
204,2,IRL_2002,D,6,,-1,0,,
205,2,IRL_2002,E,5,,1,1,,
206,2,IRL_2002,F,3,,-1,0,,
207,2,FRA_2002,A,5,,1,1,,1
208,2,FRA_2002,B,2,,-1,0,,1
209,2,FRA_2002,C,13,,-1,2,,
210,2,FRA_2002,D,7,,-1,1,,
211,2,FRA_2002,E,16,,-1,0,,
212,2,FRA_2002,F,12,,-1,0,,
213,2,FRA_2002,G,9,,-1,2,,
214,2,FRA_2002,H,6,,-1,1,,
215,2,FRA_2002,I,14,,-1,0,,
216,2,HUN_2002,A,5,,-1,2,,
217,2,HUN_2002,B,2,,1,1,,
218,2,HUN_2002,C,6,,-1,2,,
219,2,HUN_2002,D,4,,-1,0,,
220,2,HUN_2002,E,1,,-1,0,,
221,2,HUN_2002,F,3,,1,1,,
222,2,NLD_2002,A,2,,-1,0,,
223,2,NLD_2002,B,9,,-1,0,,
224,2,NLD_2002,C,3,,1,0,,
225,2,NLD_2002,D,1,,1,0,,
226,2,NLD_2002,E,5,,-1,0,,
227,2,NLD_2002,F,10,,-1,0,,
228,2,NLD_2002,G,4,,1,0,,
229,2,NLD_2002,H,7,,-1,0,,
230,2,NLD_2002,I,6,,-1,0,,
231,2,NZL_2002,A,1,,1,0,,
232,2,NZL_2002,B,2,,-1,0,,
233,2,NZL_2002,C,3,,-1,0,,
234,2,NZL_2002,D,4,,-1,0,,
235,2,NZL_2002,E,5,,-1,0,,
236,2,NZL_2002,F,6,,-1,0,,
237,2,NZL_2002,G,7,,-1,0,,
238,2,NZL_2002,H,8,,1,0,,
239,1,PRT_2002,A,1,,-1,0,,
240,1,PRT_2002,B,2,,1,0,,
241,1,PRT_2002,C,3,,-1,0,,
242,1,PRT_2002,D,4,,-1,0,,
243,1,PRT_2002,E,5,,-1,0,,
244,1,PRT_2002,F,6,,-1,0,,
245,2,SWE_2002,A,2,,1,0,,
246,2,SWE_2002,B,5,,-1,0,,
247,2,SWE_2002,C,4,,-1,0,,
248,2,SWE_2002,D,6,,-1,0,,
249,2,SWE_2002,E,1,,1,0,,
250,2,SWE_2002,F,3,,-1,0,,
251,2,BEL_2003,A,1,,1,0,1,
252,2,BEL_2003,B,2,,1,0,1,
253,2,BEL_2003,C,3,,-1,0,1,
254,2,BEL_2003,D,9,,1,0,2,
255,2,BEL_2003,E,4,,-1,0,1,
256,2,BEL_2003,F,10,,1,0,2,
257,2,BEL_2003,G,11,,-1,0,2,
258,2,BEL_2003,H,5,,-1,0,1,
259,2,BEL_2003,I,12,,1,0,2,
260,2,FIN_2003,A,2,,-1,2,,
261,2,FIN_2003,B,1,,1,1,,
262,2,FIN_2003,C,3,,1,0,,
263,2,FIN_2003,D,4,,1,1,,
264,2,FIN_2003,E,6,,1,0,,
265,2,FIN_2003,F,7,,-1,2,,
266,2,FIN_2003,G,5,,-1,0,,
267,2,ISL_2003,A,3,,1,0,,
268,2,ISL_2003,B,1,,-1,0,,
269,2,ISL_2003,C,2,,1,0,,
270,2,ISL_2003,D,4,,-1,0,,
271,2,ISL_2003,E,5,,-1,0,,
272,2,CHE_2003,A,4,,1,0,,
273,2,CHE_2003,B,3,,1,0,,
274,2,CHE_2003,C,1,,1,0,,
275,2,CHE_2003,D,2,,1,0,,
276,2,CHE_2003,E,13,,-1,0,,
277,2,AUS_2004,A,1,,1,1,,
278,2,AUS_2004,B,3,,-1,0,,
279,2,AUS_2004,C,4,,-1,0,,
280,2,AUS_2004,D,2,,1,1,,
281,2,AUS_2004,F,6,,-1,0,,
282,2,AUS_2004,G,7,,-1,0,,
283,2,CAN_2004,A,1,,1,0,,
284,2,CAN_2004,B,2,,-1,0,,
285,2,CAN_2004,C,3,,-1,0,,
286,2,CAN_2004,D,4,,-1,0,24,
287,2,CAN_2004,E,8,,-1,0,,
288,2,ESP_2004,A,2,,-1,0,,
289,2,ESP_2004,B,1,,1,0,,
290,2,ESP_2004,C,3,,-1,0,,
291,2,ESP_2004,D,4,,-1,0,5,
292,2,ESP_2004,E,15,,-1,0,5,
293,2,ESP_2004,F,5,,-1,0,16,
294,2,ROU_2004,A,9,,1,2,,1
295,2,ROU_2004,B,6,,-1,1,,1
296,2,ROU_2004,C,7,,-1,1,,
297,2,ROU_2004,D,3,,-1,0,,
298,2,ROU_2004,E,4,,-1,0,,
299,2,ROU_2004,F,8,,1,2,,
300,2,ROU_2004,H,5,,-1,0,,
301,2,SVN_2004,A,1,,-1,0,,
302,2,SVN_2004,B,2,,1,0,,
303,2,SVN_2004,C,3,,1,0,,
304,2,SVN_2004,D,4,,-1,0,,
305,2,SVN_2004,E,5,,1,0,,
306,2,SVN_2004,F,6,,-1,0,,
307,2,SVN_2004,G,7,,1,0,,
308,2,TWN_2004,A,1,,1,2,,
309,2,TWN_2004,B,2,,-1,1,,
310,2,TWN_2004,C,3,,-1,1,,
311,2,TWN_2004,D,4,,-1,2,,
312,2,TWN_2004,E,5,,-1,1,,
313,2,USA_2004,A,1,,1,0,,
314,2,USA_2004,B,2,,-1,0,,
315,2,USA_2004,C,3,,-1,0,,
316,2,ALB_2005,A,2,,-1,0,,
317,2,ALB_2005,B,1,,1,0,,
318,2,ALB_2005,C,4,,-1,1,,
319,2,ALB_2005,D,5,,-1,0,,
320,2,ALB_2005,E,3,,-1,0,,
321,2,ALB_2005,F,10,,-1,1,,
322,2,ALB_2005,G,9,,-1,0,,
323,2,ALB_2005,H,8,,-1,0,,
324,2,ALB_2005,I,7,,-1,1,,
325,2,CHL_2005,A,1,,-1,2,,
326,2,CHL_2005,B,2,,1,1,,
327,2,CHL_2005,C,3,,1,1,,
328,2,CHL_2005,D,4,,-1,2,,
329,2,CHL_2005,E,5,,1,1,,
330,2,CHL_2005,F,6,,-1,0,,
331,2,PRT_2005,A,5,,-1,0,,
332,2,PRT_2005,B,4,,1,0,,
333,2,PRT_2005,C,3,,-1,0,,
334,2,PRT_2005,D,2,,1,0,,
335,2,PRT_2005,E,1,,-1,0,,
336,2,PRT_2005,F,7,,-1,1,,
337,2,PRT_2005,G,6,,-1,1,,
338,2,GBR_2005,A,1,,1,0,,
339,2,GBR_2005,B,2,,-1,0,,
340,2,GBR_2005,C,3,,-1,0,,
341,2,GBR_2005,D,4,,-1,0,12,
342,2,GBR_2005,E,5,,-1,0,11,
343,2,ITA_2006,A,1,,1,1,,
344,2,ITA_2006,B,2,,-1,2,,
345,2,ITA_2006,C,3,,1,1,,
346,2,ITA_2006,D,4,,-1,2,,
347,2,ITA_2006,E,5,,1,1,,
348,2,ITA_2006,F,6,,-1,2,,
349,2,PER_2006,A,1,,-1,0,,
350,2,PER_2006,B,2,,-1,0,,
351,2,PER_2006,C,3,,-1,1,,
352,2,PER_2006,D,4,,-1,0,,
353,2,PER_2006,E,5,,-1,0,,
354,2,PER_2006,F,6,,-1,1,,
355,2,PER_2006,G,7,,-1,0,,
356,3,AUS_2007,B,1,,1,NA,,
357,3,AUS_2007,A,2,,-1,NA,,
358,3,AUS_2007,C,3,,1,NA,,
359,3,AUS_2007,D,4,,-1,NA,,
360,3,AUT_2008,A,1,,1,NA,,
361,3,AUT_2008,B,2,,1,NA,,
362,3,AUT_2008,C,3,,-1,NA,,
363,3,AUT_2008,E,4,,-1,NA,,
364,3,AUT_2008,D,5,,-1,NA,,
365,3,AUT_2008,F,6,,-1,NA,,
366,3,AUT_2008,G,7,,-1,NA,,
367,3,BRA_2006,B,1,,1,1,,1
368,3,BRA_2006,C,2,,-1,2,,1
369,3,BRA_2006,I,3,,-1,3,,
370,3,BRA_2006,E,4,,-1,NA,,
371,3,BRA_2006,A,6,,1,NA,,
372,3,BRA_2006,D,7,,-1,2,,
373,3,BRA_2006,F,8,,1,NA,,
374,3,BRA_2006,NA,23,,-1,1,,
375,3,BRA_2006,NA,13,,-1,1,,
376,3,BRA_2006,NA,31,,-1,3,,
377,3,BRA_2006,NA,18,,-1,3,,
378,3,BRA_2010,B,1,,1,1,,
379,3,BRA_2010,I,2,,-1,2,,
380,3,BRA_2010,H,3,,1,1,,
381,3,BRA_2010,A,4,,1,1,,1
382,3,BRA_2010,E,5,,-1,2,,
383,3,BRA_2010,F,7,,1,1,,
384,3,BRA_2010,C,8,,-1,2,,1
385,3,BRA_2010,G,16,,1,NA,,
386,3,BRA_2010,D,27,,1,1,,
387,3,BRA_2010,NA,6,,-1,1,,
388,3,BRA_2010,NA,25,,-1,1,,
